inci_name,id,potency_tier,time_of_day,barrier_tax_score,sun_sensitivity
copper tripeptide-1,467,1,ANY,0,False
hydroxyproline,468,1,ANY,0,False
ci 42090 blue 1 fdc blue 1-aluminum lake,469,1,ANY,0,False
aloe barbadensis aloe leaf extract,470,1,ANY,0,False
dicapryl carbonate,471,1,ANY,0,False
silk amino acids,472,1,ANY,0,False
hibiscus sabdariffa red sorrel flower extract,473,1,ANY,0,False
cucumis sativus cucumber seed extract,474,1,ANY,0,False
laureth-12,475,1,ANY,0,False
allantoin,476,1,ANY,0,False
morus alba bark extract,477,1,ANY,0,False
sodium gluconate,478,1,ANY,0,False
pyruvic acid,479,1,ANY,0,False
microcitrus australasica finger-lime fruit extract,480,1,ANY,0,True
disodium phosphate,481,1,ANY,0,False
waltheria indica waltheria leaf extract,482,1,ANY,0,False
sodium phosphate,483,1,ANY,0,False
acetyl tetrapeptide-5,484,1,ANY,0,False
diamond powder,485,1,ANY,0,False
acetyl hexapeptide-51 amide,486,1,ANY,0,False
acetyl hexapeptide-8,487,1,ANY,0,False
acetyl octapeptide-3,488,1,ANY,0,False
dicaprylyl carbonate,489,1,ANY,0,False
hydrolyzed jojoba esters,490,1,ANY,0,False
tocopherol vitamin e,491,1,ANY,0,False
dimethyl isosorbide,492,1,ANY,0,False
ammonium glycyrrhizate,493,1,ANY,0,False
hibiscus sabdariffa flower extract,494,1,ANY,0,False
hydroxypinacolone retinoate,495,1,ANY,0,False
ubiquinone,496,1,ANY,0,False
hippophae rhamnoides sea buckthorn fruit extract,497,1,ANY,0,False
tasmannia lanceolata pepperberry extract,498,1,ANY,0,False
10 glycolic acid,499,4,PM,4,True
05 retinol,500,4,PM,4,True
panthenol vitamin b5,501,1,ANY,0,False
papaya enzyme,502,1,ANY,0,False
jojoba seed oil,503,1,ANY,0,False
shea butter,504,1,ANY,0,False
mango seed butter,505,1,ANY,0,False
vitamin e,506,1,ANY,0,False
peg-7 glyceryl cocoate,507,1,ANY,0,False
cucumis sativus cucumber extract,508,1,ANY,0,False
thymus vulgaris thyme leaf extract,509,1,ANY,0,False
coconut alkanes,510,1,ANY,0,False
aloe barbadensis aloe vera leaf juice,511,1,ANY,0,False
prunus armeniaca apricot kernel oil,512,1,ANY,0,False
diheptyl succinate,515,1,ANY,0,False
centella asiatica meristem cell culture,516,1,ANY,0,False
tripeptide-29,517,1,ANY,0,False
linoleic acid,518,1,ANY,0,False
citrus aurantium dulcis orange oil,519,1,ANY,0,True
coenochloris signiensis extract,520,1,ANY,0,False
hydrolyzed sodium hyaluronate,521,1,ANY,0,False
eclipta prostrata extract,522,1,ANY,0,False
moringa pterygosperma seed oil,523,1,ANY,0,False
ascorbic acid vitamin c,524,4,AM,3,False
salvia officinalis sage leaf extract,525,1,ANY,0,False
arnica montana arnica flower extract,526,1,ANY,0,False
borago officinalis borage flower extract,527,1,ANY,0,False
calendula officinalis calendula flower extract,528,1,ANY,0,False
chamomilla recutita matricaria flower extract,529,1,ANY,0,False
hydrated silica,530,1,ANY,0,False
hydroxypropyl starch phospate,531,1,ANY,0,False
bentonite clay,532,1,ANY,0,False
vaccinium membranaceum huckleberry extract,533,1,ANY,0,False
salix alba white willow bark extract bambusa arundinacea bamboo stem extract,534,1,ANY,0,False
sodium stearoyl lactylate,535,1,ANY,0,False
carrageenan,536,1,ANY,0,False
glucose,537,1,ANY,0,False
simmondsia chinensis jojoba seed wax,538,1,ANY,0,False
moringa oleifera seed oil,539,1,ANY,0,False
lactobacilluspumpkin ferment extract,540,1,ANY,0,False
dehyroacetic acid dha,541,1,ANY,0,False
