product_id,ingredient_id,concentration_rank
P232910,2346,6
P232910,6,7
P232910,43,8
P232910,4105,9
P232910,4106,10
P232910,4107,11
P232910,55,12
P232910,3576,13
P232910,622,14
P232910,170,15
P232910,239,16
P232910,599,17
P232910,108,18
P232910,4,19
P232910,20,20
P232910,93,21
P232910,4613,22
P232910,24,23
P232910,2552,24
P232910,34,25
P232910,2292,26
P232910,27,27
P232910,190,28
P232910,113,29
P232910,57,30
P232910,114,31
P232910,188,32
P232915,5950,1
P232915,114,2
P232915,162,3
P232915,894,4
P232915,3689,5
P232915,9,6
P232915,4087,7
P232915,6123,8
P232915,163,9
P232915,34,10
P232915,1744,11
P232915,150,12
P232915,3881,13
P232915,243,14
P232915,540,15
P232915,136,16
P232915,128,17
P232915,4071,18
P232915,4088,19
P232915,881,20
P232915,609,21
P232915,4614,22
P232915,68,23
P232915,42,24
P232915,359,25
P232915,4073,26
P232915,108,27
P232915,2644,28
P232915,716,29
P232915,154,30
P232915,93,31
P232915,4089,32
P232915,3386,33
P232915,2732,34
P232915,868,35
P232915,4090,36
P232915,606,37
P232915,4091,38
P232920,907,1
P232920,4602,2
P232920,4170,3
P232920,822,4
P232920,6122,5
P232920,6,6
P232920,940,7
P232920,8,8
P232920,77,9
P232920,840,10
P232920,2396,11
P232920,23,12
P232920,34,13
P232920,45,14
P232920,1682,15
P232920,6158,16
P232920,58,17
P232920,1614,18
P232920,1223,19
P232920,205,20
P232920,110,21
P232920,211,22
P232920,3916,23
P232920,62,24
P232920,1684,25
P232920,85,26
P232920,890,27
P232920,775,28
P232920,2840,29
P232920,99,30
P232920,2292,31
P232920,755,32
P232920,93,33
P232920,88,34
P232920,4171,35
P232920,4172,36
P232920,315,37
P232920,941,38
P232920,29,39
P232920,154,40
P232920,190,41
P232920,383,42
P232920,672,43
P232920,673,44
P232920,377,45
P232920,894,46
P232920,4173,47
P244701,318,1
P244701,45,2
P244701,321,3
P244701,588,4
P244701,150,5
P244701,3881,6
P244701,1618,7
P244701,1571,8
P244701,336,9
P244701,1573,10
P244701,201,11
P244701,1727,12
P244701,1133,13
P244701,1728,14
P244701,64,15
P244701,1449,16
P244701,24,17
P244701,190,18
P244701,57,19
P244701,166,20
P244701,34,21
P244701,294,22
P248404,5950,1
P248404,175,2
P248404,6,3
P248404,71,4
P248404,2030,5
P248404,1486,6
P248404,945,7
P248404,476,8
P248404,3174,9
P248404,98,10
P248404,144,11
P248404,92,12
P248404,4613,13
P248404,1227,14
P248404,34,15
P248404,1626,16
P248404,211,17
P248404,1495,18
P248404,3224,19
P248404,928,20
P248404,189,21
P248404,57,22
P248404,28,23
P248404,4614,24
P248404,121,25
P248404,448,26
P248404,929,27
P248407,3173,1
P248407,71,2
P248407,6,3
P248407,77,4
P248407,942,5
P248407,150,6
P248407,75,7
P248407,9,8
P248407,76,9
P248407,8,10
P248407,199,11
P248407,34,12
P248407,24,13
P248407,190,14
P248407,476,15
P248407,30,16
P248407,57,17
P248407,3174,18
P248407,98,19
P248407,144,20
P248407,17,21
P248407,452,22
P251529,4602,1
P251529,199,2
P251529,6505,3
P251529,403,4
P251529,93,5
P251529,315,6
P251529,312,7
P251529,29,8
P251529,1350,9
P251529,4609,10
P251529,62,11
P251529,557,12
P254720,2,1
P254720,1626,2
P254720,6,3
P254720,45,4
P254720,163,5
P254720,176,6
P254720,1677,7
P254720,175,8
P254720,150,9
P254720,4874,10
P254720,2396,11
P254720,85,12
P254720,93,13
P254720,942,14
P254720,403,15
P254720,863,16
P254720,226,17
P254720,4875,18
P254720,4701,19
P254720,211,20
P254720,46,21
P254720,669,22
P254720,672,23
P254720,373,24
P254720,377,25
P254720,374,26
P254720,378,27
P254720,383,28
P254720,673,29
P254720,2127,30
P254720,1336,31
P254720,661,32
P254720,4111,33
P254720,597,34
P254720,640,35
P254720,4873,36
P254720,634,37
P254720,1701,38
P254720,1702,39
P254720,233,40
P254720,1705,41
P254720,28,42
P254720,57,43
P254720,1754,44
P254720,395,45
P254720,591,46
P254720,1424,47
P254720,2847,48
P254720,3997,49
P254720,34,50
P254720,24,51
P254720,166,52
P254720,67,53
P257537,6505,1
P257537,45,2
P257537,6,3
P257537,86,4
P257537,101,5
P257537,756,6
P257537,1647,7
P257537,4475,8
P257537,1648,9
P257537,1649,10
P257537,1650,11
P257537,1061,12
P257537,1651,13
P257537,981,14
P257537,85,15
P257537,800,16
P257537,518,17
P257537,672,18
P257537,58,19
P257537,1652,20
P257537,468,21
P257537,1067,22
P257537,798,23
P257537,796,24
P257537,24,25
P257537,377,26
P257537,1653,27
P257537,1654,28
P257537,190,29
P257537,27,30
P257537,57,31
P257537,34,32
P257537,294,33
P257537,291,34
P266126,5648,1
P266126,5653,2
P266126,5654,3
P266126,5655,4
P268700,77,1
P268700,942,2
P268700,6,3
P268700,2478,4
P268700,45,5
P268700,150,6
P268700,4898,7
P268700,489,8
P268700,504,9
P268700,9,10
P268700,1077,11
P268700,163,12
P268700,215,13
P268700,907,14
P268700,71,15
P268700,4899,16
P268700,2215,17
P268700,1515,18
P268700,4872,19
P268700,46,20
P268700,2046,21
P268700,1729,22
P268700,890,23
P268700,4900,24
P268700,4901,25
P268700,4902,26
P268700,4304,27
P268700,85,28
P268700,357,29
P268700,91,30
P268700,93,31
P268700,518,32
P268700,110,33
P268700,12,34
P268700,5987,35
P268700,387,36
P268700,1594,37
P268700,101,38
P268700,185,39
P268700,186,40
P268700,395,41
P268700,775,42
P268700,4903,43
P268700,1323,44
P268700,312,45
P268700,1149,46
P268700,7,47
P268700,8,48
P268700,205,49
P268700,154,50
P268700,476,51
P268700,190,52
P268700,57,53
P268700,146,54
P268700,2292,55
P268700,166,56
P268700,34,57
P269122,6505,1
P269122,2571,2
P269122,297,3
P269122,456,4
P269122,1811,5
P269122,243,6
P269122,62,7
P269122,114,8
P269122,351,9
P269122,356,10
P269122,28,11
P269122,863,12
P269122,98,13
P269122,777,14
P269122,529,15
P269122,2404,16
P269122,1862,17
P269122,6,18
P269122,1034,19
P269122,665,20
P269122,29,21
P269122,557,22
P269122,395,23
P269122,57,24
P269122,2437,25
P269122,67,26
P269122,34,27
P269122,188,28
P269122,121,29
P269122,2641,30
P269122,1624,31
P269122,697,32
P269122,403,33
P269122,226,34
P269122,496,35
P269122,110,36
P269122,54,37
P269122,93,38
P269122,2410,39
P269122,211,40
P269122,2573,41
P269122,929,42
P269122,4614,43
P270543,8,1
P270543,45,2
P270543,163,3
P270543,3,4
P270543,814,5
P270543,1076,6
P270543,1077,7
P270543,150,8
P270543,201,9
P270543,1078,10
